oxordernr;oxorderdate;oxuserid;oxdelfname;oxdellname;oxdelstreet;oxdelstreetnr;oxdelzip;oxdelcity;oxdelcountry;oxtotalordersum;oxdelcost;oxpayment;oxartnum;oxamount;oxbprice;oxbrutprice;oxtitle
2;16.05.2019;10051;;;;;;;;2496.96;0;Vorauskasse;103060;1;216.87;216.87;"Haftetikett BST MTablets 141269-40 BST AT"
2;16.05.2019;10051;;;;;;;;2496.96;0;Vorauskasse;100993;2;25.82;51.64;"Tafel Chateau 200g Wei"
2;16.05.2019;10051;;;;;;;;2496.96;0;Vorauskasse;101752;1;2228.45;2228.45;"Eckstecker 1/4 160x105g MS GEK D/IN"
